id;ludnosc
0201;90199
0202;103349
0203;90205
0204;35940
0205;51451
0206;64599
0207;44402
0208;162465
0209;55051
0210;55533
0211;106319
0212;46677
0213;37213
0214;106486
0215;76064
0216;63057
0217;44165
0218;52837
0219;159633
0220;83699
0221;57023
0222;47194
0223;134145
0224;66971
0225;91815
0226;44598
0261;81010
0262;100886
0265;115453
0264;635759
0401;55573
0402;78431
0403;112992
0404;52361
0405;45342
0406;40346
0407;162545
0408;66823
0409;46254
0410;86841
0411;41373
0412;44384
0413;41501
0414;99764
0415;103397
0416;48381
0417;34844
0418;86758
0419;70606
0461;355645
0462;96319
0463;202689
0464;113041
0601;112507
0602;102647
0603;79377
0604;65939
0605;46895
0606;65422
0607;97569
0608;89502
0609;151178
0610;57401
0611;108597
0612;60964
0613;35628
0614;115206
0615;60287
0616;57388
0617;72642
0618;85705
0619;39280
0620;108393
0661;57414
0662;64270
0663;340727
0664;64788
0801;70929
0802;55943
0803;58496
0804;87339
0805;47275
0806;50061
0807;35596
0808;56290
0812;39297
0809;75219
0810;81006
0811;98160
0861;123762
0862;138711
1001;112916
1021;30933
1002;99258
1003;50282
1004;51062
1005;79631
1006;70430
1007;77457
1008;119518
1009;52023
1010;91283
1011;41679
1012;115125
1013;49239
1014;119268
1015;38177
1016;118671
1017;77290
1018;42195
1019;67483
1020;165130
1061;700982
1062;75183
1063;48388
1201;105416
1202;92983
1203;126463
1204;59374
1205;109140
1206;270490
1207;129699
1208;49592
1209;125020
1210;212894
1211;190517
1212;113148
1213;154819
1214;43716
1215;84175
1216;200600
1217;67884
1218;159538
1219;121534
1261;761069
1262;83903
1263;110644
1401;33569
1402;90327
1403;108740
1404;45992
1405;90656
1406;98619
1407;61319
1408;113242
1409;35063
1410;31775
1411;46014
1412;151520
1413;73758
1414;78810
1415;88378
1416;73911
1417;123120
1418;177007
1419;111038
1420;88270
1421;160776
1422;53253
1423;42571
1424;51637
1425;151461
1426;81403
1427;52980
1428;85167
1429;55152
1430;40241
1432;112957
1433;67005
1434;235043
1435;73951
1436;36761
1437;39736
1438;76138
1461;52571
1462;121731
1463;216159
1464;76942
1465;1744351
1601;91191
1602;46892
1603;96139
1604;66707
1605;64599
1606;42615
1607;138969
1608;65306
1609;133048
1610;56174
1611;75440
1661;118931
1801;22072
1802;66112
1803;135293
1804;121508
1805;114773
1806;62513
1807;112117
1821;26747
1808;69701
1809;56536
1810;80201
1811;136263
1812;67178
1813;74315
1814;78869
1815;73756
1816;167342
1817;95645
1818;107946
1819;61852
1820;53711
1861;46775
1862;62720
1863;185896
1864;47816
2001;59103
2002;145517
2003;56562
2004;48357
2005;44567
2006;39162
2007;51439
2008;41544
2009;20606
2010;46072
2011;69375
2012;35932
2013;58177
2014;44299
2061;295981
2062;62737
2063;69370
2201;78780
2202;96627
2203;56887
2204;109394
2205;128925
2206;71624
2207;83464
2208;66187
2209;64311
2210;36154
2211;83080
2212;98140
2213;127289
2216;42377
2214;115610
2215;209407
2261;462249
2262;247478
2263;92496
2264;37231
2401;150103
2402;162128
2414;58973
2403;177562
2404;135633
2405;115179
2406;85256
2407;76951
2408;96473
2409;71784
2410;109836
2411;109161
2412;77431
2413;138837
2415;157831
2416;120270
2417;153047
2461;172591
2462;170761
2463;109757
2464;228179
2465;122712
2466;183392
2467;90283
2468;92847
2469;299910
2470;74851
2471;56374
2472;139844
2473;139595
2474;68231
2475;207381
2476;50970
2477;128444
2478;176327
2479;61945
2601;73068
2602;87141
2603;34449
2604;208526
2605;82336
2606;53821
2607;112417
2608;40081
2609;79266
2610;77039
2611;92032
2612;73036
2613;45921
2661;198046
2801;59378
2802;42208
2803;66113
2804;58220
2805;90080
2806;57286
2818;27280
2807;92795
2808;64450
2809;42266
2810;50696
2811;33658
2812;44321
2813;34745
2814;123479
2815;106023
2816;57570
2817;70570
2819;23451
2861;121642
2862;173444
3001;47534
3002;87890
3003;145085
3004;76230
3005;51426
3006;71790
3007;82838
3008;56427
3009;88399
3010;129273
3011;79028
3012;77664
3013;54767
3014;37084
3015;74725
3016;59501
3017;161435
3018;55409
3019;137570
3020;63252
3021;366037
3022;60294
3023;59591
3024;90133
3025;57429
3026;60907
3027;84366
3028;69900
3029;57012
3030;76956
3031;69781
3061;102808
3062;75875
3063;64559
3064;542348
3201;48448
3202;49474
3203;58062
3204;82355
3205;61371
3206;83461
3207;47494
3208;79516
3209;65844
3218;37691
3210;67140
3211;76247
3212;40211
3213;57188
3214;120422
3215;78578
3216;47994
3217;54207
3261;107970
3262;405657
3263;41152